"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
12110,9,"54.491068328333, 18.537378355",10,"98523,98433,98428,98419,98392,98283,99126,98781,600380"
12111,1,"54.552615316667, 18.51510014",5,98899
12112,4,"54.550437846667, 18.486273925",5,"98046,99219,98988,98780"
12113,2,"54.455716535, 18.453396115",5,"98344,98207"
12114,2,"54.552313638333, 18.503305268333",5,"98888,600278"
12116,0,"54.484297825, 18.515841678333",5,
12117,0,"54.532975086667, 18.488105726667",10,
12120,0,"54.499516966667, 18.438162356667",5,
12122,0,"54.474212125, 18.461947913333",5,
12124,2,"54.542876595, 18.543480816667",15,"98277,98911"
12125,0,"54.553590701667, 18.52999836",15,
12126,4,"54.547280355, 18.472675073333",7,"98545,99064,98996,600363"
12127,0,"54.49168263, 18.514002528333",5,
12128,0,"54.547556271667, 18.435828486667",10,
12129,6,"54.559441553333, 18.510442633333",20,"98194,98109,99224,99083,98903,98785"
12130,1,"54.493023785, 18.434291735",6,"98437,98983"
12131,6,"54.473754698333, 18.465597103333",10,"98733,98403,98068,98058,98873,98774"
12132,1,"54.53811124, 18.49387309",5,98040
12133,0,"54.55299094, 18.509996368333",5,
12134,0,"54.538859518333, 18.47098881",8,
12136,2,"54.476630441667, 18.503652876667",7,"98547,98266"
12137,3,"54.550734611667, 18.536972376667",5,"98644,99039,600373"
12138,1,"54.550927166667, 18.506472618333",15,98168
12139,1,"54.496930835, 18.438354671667",5,99027
12140,1,"54.536316143333, 18.478688331667",9,600117
12141,0,"54.486555765, 18.428116603333",10,
12142,0,"54.494963178333, 18.508402155",6,
12143,0,"54.546473688333, 18.441729588333",10,
12144,0,"54.537636963333, 18.458387881667",0,
12145,0,"54.562559266667, 18.507063135",5,
12123,0,"54.526586503333, 18.51192864",15,
12115,0,"54.508363038333, 18.553728498333",15,
12121,5,"54.47821792, 18.54826869",5,"98604,98492,98083,98966,600043"
12118,1,"54.471560885, 18.45024551",10,98367
12135,0,"54.50980308, 18.519719315",5,
12070,1,"54.499387586667, 18.50501013",5,98132
12119,0,"54.561035691667, 18.493452546667",5,
12012,0,"54.502917305, 18.542155276667",10,
12074,0,"54.477626, 18.547034",6,
12060,0,"54.523593258333, 18.513033333333",5,
12091,1,"54.494705335, 18.542737068333",5,98091
0,0,"54.565648888889, 18.534692222222",0,99022
0,1,"54.488777777778, 18.53999",0,98995
0,1,"54.556404444444, 18.474157777778",0,98840
0,1,"54.514662222222, 18.523123333333",0,98203
0,1,"54.479328888889, 18.562268888889",0,98359
0,1,"54.540764444444, 18.458166666667",0,99239
0,1,"54.543577777778, 18.459932222222",0,600114
0,1,"54.561475555556, 18.475278888889",0,98477
0,1,"54.549013333333, 18.444166666667",0,98291
0,1,"54.490608888889, 18.536038888889",0,98601
0,1,"54.585871111111, 18.372303333333",0,98786
0,1,"54.556066666667, 18.446245555556",0,98800
0,1,"54.538173333333, 18.463397777778",0,99108
0,1,"54.496653333333, 18.536437777778",0,98990
0,1,"54.51072, 18.528886666667",0,98188
0,1,"54.531844444444, 18.496175555556",0,98426
0,1,"54.521786666667, 18.539155555556",0,99206
10107,1,"54.429891043333, 18.563263305",5,99313
10108,2,"54.43062174, 18.56161546",5,"98251,600118"
10112,1,"54.442144618333, 18.556969791667",5,600353
10115,1,"54.442975288333, 18.56317824",5,98748
10124,0,"54.444028411667, 18.56614844",5,
10101,0,"54.457281656667, 18.55307937",10,
10116,1,"54.440004978333, 18.564219498333",7,99035
10117,0,"54.439286018333, 18.563292943333",10,
10106,2,"54.430631346667, 18.565945478333",5,"98502,98220"
10102,0,"54.425871931667, 18.577790235",11,
10103,5,"54.430729138333, 18.586450133333",5,"98626,98607,98405,98219,98789"
10111,0,"54.439320798333, 18.546999601667",5,
10109,1,"54.433622303333, 18.56127717",5,98863
10105,2,"54.435063533333, 18.572117723333",5,"98100,99018"
10119,0,"54.438496613333, 18.572775446667",4,
10120,0,"54.442536076667, 18.570480396667",5,
10123,10,"54.445775086667, 18.568217013333",7,"98679,98629,98071,99317,99171,99141,99119,98984,98956,600105"
10122,1,"54.448735053333, 18.56223673",5,98323
10127,0,"54.458431016667, 18.547423491667",5,
10126,1,"54.457495816667, 18.534854196667",7,99080
10125,0,"54.454000675, 18.549058195",5,
10100,4,"54.445342555, 18.570929975",15,"98290,99210,99148,98804"
10110,2,"54.436376686667, 18.5518765",5,"99023,99020"
10113,0,"54.447747726667, 18.540744325",5,
10121,2,"54.453928215, 18.562558308333",4,"98288,98871"
10114,0,"54.440879733333, 18.561521411667",5,
10118,0,"54.43578246, 18.567116636667",5,
0,1,"54.440813333333, 18.576063333333",0,99050
10602,1,"54.335950485, 18.191221666667",10,98922
10604,7,"54.325970706667, 18.194469638333",10,"98705,98533,98325,98261,98191,98102,98022"
10603,2,"54.334370703333, 18.205929411667",20,"98305,98926"
10600,1,"54.333937211667, 18.195677961667",10,98390
10601,6,"54.3403723, 18.202248713333",10,"98237,99136,99078,98889,98861,98778"
10911,0,"54.345146388333, 17.893127953333",5,
10912,3,"54.349326325, 17.891066983333",5,"98730,98061,99060"
10910,4,"54.349958718333, 17.896648453333",10,"98561,98457,98787"
10931,0,"54.254651051667, 18.114388048333",8,
10930,4,"54.271876521667, 18.194925183333",7,"98213,98174,98943,98940"
10940,0,"54.213563363333, 18.038187096667",20,
10941,4,"54.209643536667, 17.956523946667",5,"98335,98121,98053,98048,98813"
10803,2,"54.789404415, 18.414551518333",5,"98618,98535"
10801,4,"54.794077963333, 18.409213526667",5,"98636,98620,98498,99137"
10802,1,"54.793952803333, 18.416331408333",10,98634
10800,5,"54.79343906, 18.398827391667",10,"98720,98685,98544,98391,98120"
10921,5,"54.342669981667, 18.359467066667",5,"98518,98414,99228,99087,98788"
10920,0,"54.343850916667, 18.363971205",15,
0,1,"54.342164444444, 18.359661111111",0,98501
10411,0,"54.257273788333, 18.65997955",5,
10410,1,"54.246678823333, 18.651351596667",5,98902
10413,2,"54.26444093, 18.669116898333",5,"98123,98075"
10414,0,"54.263569618333, 18.664558465",5,
10415,1,"54.261123246667, 18.6506991",5,98416
10400,1,"54.258446565, 18.645462423333",10,98342
10409,3,"54.258387058333, 18.647825748333",5,"98724,98605,98295"
10417,2,"54.27005691, 18.638262758333",5,"98611,99167"
10401,0,"54.267994145, 18.628157026667",10,
10416,1,"54.26248346, 18.636405828333",5,99235
10408,0,"54.261084151667, 18.638122143333",10,
10402,1,"54.260025318333, 18.633892806667",5,600172
10407,0,"54.254686281667, 18.636985605",5,
10404,0,"54.252578933333, 18.62875935",5,
10406,4,"54.249366756667, 18.637763428333",5,"98019,99040,98931,600126"
10405,2,"54.240790738333, 18.616627111667",15,"98548,98287"
10403,0,"54.2575777, 18.6330923",5,
10412,5,"54.260223173333, 18.673028353333",5,"98671,98119,98004,99212,600369"
0,1,"54.250746666667, 18.847846666667",0,65010
0,1,"54.250644444444, 18.847757777778",0,65008
0,1,"54.250097777778, 18.844055555556",0,65007
0,1,"54.250782222222, 18.847755555556",0,10015
0,1,"54.250746666667, 18.847631111111",0,10010
0,1,"54.25092, 18.847608888889",0,10011
0,1,"54.329893333333, 18.56502",0,98481
0,1,"54.265493333333, 18.661693333333",0,98965
10705,0,"54.722907926667, 18.410030478333",6,
10708,0,"54.712944536667, 18.420438805",5,
10710,0,"54.710417038333, 18.411692143333",5,
10709,0,"54.713977616667, 18.41573041",5,
10711,0,"54.7116719, 18.4033978",5,
10713,1,"54.709716665, 18.395806773333",6,99166
10701,0,"54.719447123333, 18.400183738333",5,
10712,1,"54.716764895, 18.403667743333",5,99098
10700,0,"54.716026386667, 18.408989731667",0,
10703,3,"54.7207236, 18.411477595",0,"98339,98140,98980"
10704,0,"54.720357535, 18.411526723333",0,
10702,1,"54.724541541667, 18.402744446667",0,98264
10706,1,"54.72114488, 18.418474245",0,98603
10707,0,"54.715234328333, 18.430428941667",0,
10506,1,"54.610878031667, 18.352867583333",5,98350
10504,4,"54.613878655, 18.333425388333",5,"98115,99315,99181,600184"
10502,0,"54.625992365, 18.352504665",5,
10501,3,"54.631511536667, 18.362147001667",5,"98684,98465,98767"
10503,0,"54.61587418, 18.345749585",5,
10513,0,"54.602332708333, 18.355711188333",5,
10514,0,"54.600066881667, 18.352086863333",5,
10512,0,"54.603340041667, 18.350600176667",3,
10515,0,"54.5974377, 18.3559649",5,
10516,1,"54.594800171667, 18.361170851667",5,98619
10507,0,"54.5967423, 18.344444553333",5,
10508,0,"54.59185226, 18.336109853333",5,
10505,0,"54.6043699, 18.318397285",5,
10510,0,"54.606802615, 18.363405395",5,
10511,0,"54.60504915, 18.35570927",10,
10509,0,"54.595512745, 18.352434455",5,
10500,0,"54.595304445, 18.353499201667",5,
10315,0,"54.562646298333, 18.385487013333",5,
10316,0,"54.565142996667, 18.392140025",5,
10314,1,"54.568657705, 18.386677668333",6,98399
10311,0,"54.574681713333, 18.387358743333",5,
10310,0,"54.577862516667, 18.39168809",5,
10309,0,"54.582224055, 18.386272798333",5,
10307,1,"54.577961603333, 18.40018586",5,99069
10312,0,"54.57382776, 18.395114161667",5,
10313,1,"54.569601063333, 18.39213912",5,98045
10317,2,"54.567401315, 18.39843853",5,"98063,99174"
10306,1,"54.575524521667, 18.408659425",5,98139
10308,1,"54.583678385, 18.395011498333",5,99203
10318,0,"54.573076083333, 18.40028323",5,
10305,1,"54.573514026667, 18.41569203",5,98947
10319,0,"54.567562185, 18.406560128333",5,
10304,1,"54.568027888333, 18.411894815",5,98286
10303,0,"54.566047615, 18.416716413333",5,
10302,0,"54.561234163333, 18.413607843333",5,
10322,4,"54.559673941667, 18.405220631667",8,"98406,98296,98967,98775"
10300,1,"54.56892846, 18.387888538333",11,98972
10301,2,"54.55855249, 18.405624806667",8,"99179,600113"
10320,1,"54.564122663333, 18.409986486667",5,98333
10321,0,"54.563284933333, 18.40528003",5,
0,1,"54.559226666667, 18.396888888889",0,98519
0,1,"54.577204444444, 18.384582222222",0,600173
0,1,"54.584982222222, 18.375212222222",0,98632
10219,0,"54.086912695, 18.795389788333",5,
10218,1,"54.08715189, 18.7995924",5,98660
10215,1,"54.077313826667, 18.800394825",5,99176
10216,1,"54.075110385, 18.806260128333",6,600123
10217,1,"54.082205858333, 18.802205963333",5,600236
10209,1,"54.067806816667, 18.767635643333",5,98176
10208,0,"54.073302643333, 18.774380168333",5,
10225,0,"54.096940748333, 18.781603295",6,98747
10223,1,"54.093616696667, 18.786204786667",5,98513
10224,1,"54.092936081667, 18.78166082",5,98699
10227,0,"54.09570198, 18.775407856667",5,
10210,0,"54.083722026667, 18.77735855",5,
10211,0,"54.088231153333, 18.782932221667",5,
10212,0,"54.088437856667, 18.787988501667",6,
10207,2,"54.088864335, 18.772352631667",5,"98689,600178"
10206,4,"54.089591621667, 18.76730608",6,"98638,98143,98830,600085"
10205,4,"54.091755251667, 18.762077423333",6,"98258,99213,600343,600053"
10204,0,"54.095628041667, 18.764960635",5,
10202,1,"54.098570031667, 18.764433921667",5,600062
10201,0,"54.100647778333, 18.772070535",6,
10226,0,"54.100765628333, 18.779696091667",5,
10200,10,"54.09633981, 18.789734361667",17,"98673,98328,98320,98249,98127,99129,99127,99116,98821,98779"
10222,0,"54.09589279, 18.793027873333",5,
10221,3,"54.102862035, 18.802870845",5,"98640,98246,98134"
10203,1,"54.09724756, 18.75979854",5,98023
10213,0,"54.085696055, 18.793359555",6,
10214,1,"54.077564525, 18.789435456667",5,98088
10220,2,"54.090678691667, 18.802415973333",6,"98183,98172"
0,1,"54.097768888889, 18.774895555556",0,98551
999993,0,"52.261177495785, 20.968099236488",0,
0,1,"52.281137777778, 21.010264444444",0,65014
0,1,"52.281318924695, 21.012656817492",0,600240
0,1,"52.260871111111, 20.969653333333",0,98107
0,1,"52.281142222222, 21.012848888889",0,600034
