"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11121,1,"54.392057048333, 18.589963438333",5,98010
11123,1,"54.38153501, 18.607195966667",5,99223
11124,0,"54.390776596667, 18.596507891667",5,
11122,0,"54.383739065, 18.605989671667",5,
11125,0,"54.392109285, 18.605343028333",5,
11126,0,"54.38464757, 18.609269865",5,
11127,0,"54.396229351667, 18.58922238",9,
11128,1,"54.38633, 18.60572",5,"98694,98322"
11129,0,"54.395888256667, 18.570695455",5,
11130,0,"54.385433875, 18.569679913333",5,
11131,0,"54.386850233333, 18.578108768333",5,
11132,0,"54.381022733333, 18.61360371",5,
11133,0,"54.408894678333, 18.55540448",5,
11134,0,"54.38986578, 18.573887761667",5,
11135,0,"54.386786466667, 18.572253188333",5,
11136,0,"54.406370236667, 18.559881825",5,
11137,2,"54.372383566925, 18.620088100433",9,"98153,99096"
11138,0,"54.38977929, 18.568485205",5,
11139,1,"54.41427449, 18.57969085",5,98104
11140,1,"54.39550624, 18.56883051",9,98683
11141,0,"54.34818574, 18.606409596667",0,
11142,7,"54.3700085, 18.610584596667",5,"98610,98468,98430,98217,99196,600319,600038"
11143,0,"54.413281096667, 18.584909406667",5,
11144,1,"54.409746848333, 18.570519241667",9,98230
11145,1,"54.409567411667, 18.575694151667",5,98560
11146,0,"54.424158558333, 18.577451216667",5,
11147,0,"54.368388, 18.6299",5,
11148,3,"54.383915488333, 18.588353366667",5,"98723,98310,98820"
11149,1,"54.386373906667, 18.581464483333",5,98467
11150,2,"54.420550938333, 18.567673028333",5,"98331,98090"
11151,1,"54.37608864, 18.615286263333",5,98270
11152,4,"54.38611334, 18.5922446",9,"98656,99163,99076,99055"
11153,1,"54.38464782, 18.58185006",5,98892
11155,2,"54.389365656667, 18.587548073333",5,"98216,98029"
11156,1,"54.377089808333, 18.611034433333",0,98667
11157,0,"54.380766811667, 18.593661258333",5,
11158,0,"54.378355193333, 18.607475906667",5,
11159,1,"54.375366095, 18.614249148333",8,98587
11160,1,"54.394198901667, 18.581364166667",5,99104
11161,2,"54.380802691667, 18.588239448333",9,"98446,99097"
11162,0,"54.353555186667, 18.60772544",5,
